year,male,female
1973,3.755845,1.712468
1974,4.304948,2.089513
1975,3.294004,1.838597
1976,3.50562,1.664181
1977,4.309299,1.696307
1978,3.957107,1.44031
1979,3.583891,1.616824
1980,4.301425,1.517045
1981,4.24139,1.785452
1982,4.544026,1.8628
1983,5.077846,1.687741
1984,5.209984,1.950024
1985,5.071703,2.097203
1986,5.24479,1.643898
1987,5.286321,1.848962
1988,5.156341,1.7138
1989,5.02707,1.665641
1990,4.734638,1.262625
1991,4.979847,1.287541
1992,4.566751,1.085906
1993,5.123562,1.538909
1994,4.603834,1.027133
1995,4.981235,0.9652933
1996,4.707526,0.8616472
1997,5.209034,0.7926515
1998,4.837743,1.318808
1999,4.628674,1.221455
2000,4.643847,1.229001
2001,4.372579,0.6871724
2002,3.75316,0.889488
2003,4.567214,1.048374
2004,4.16287,0.9383833
2004,7.362030983,0.343973368
1963,7.147273,0.3510816
1964,6.164508,0.9152728
1965,6.440361,0.497628
1966,5.178927,0.3507546
1967,8.520576,1.054271
1968,7.323934,2.715208
1969,5.571596,1.308517
1970,7.060984,0.9226225
1971,7.08713,1.831857
1977,,0.0757692
1979,3.080571,0.3456988
1980,2.639829,0.5256463
1981,1.346651,0.0820086
1984,1.537492,0.2678788
1986,5.346683,1.022552
1987,5.905004,1.700646
1988,4.59584,0.8226081
1989,3.981843,0.8325154
1990,3.93206,0.7111649
1991,3.784978,0.8570762
1992,4.111893,1.093902
1993,4.049012,0.7572162
1994,3.246903,0.4675907
1995,4.400336,1.151244
1996,3.673022,0.719579
1997,3.540285,0.9284606
1998,3.993678,0.9521694
1999,4.876319,0.833605
2000,3.327062,0.748291
2001,3.707146,0.9213251
2002,4.648741,1.296
2003,4.535077,0.9491554
2004,3.874187,1.167424
2004,9.628465652,5.431053638
2004,10.65297794,4.794747829
2004,50.07269669,21.24728584
2004,2.085222006,1.005262375
2004,9.465991974,4.775053024
1955,29.80989,12.69632
1956,28.8267,11.16879
1957,31.86793,12.20223
1958,33.81632,13.77872
1959,37.93184,13.85482
1960,35.64537,13.98831
1961,36.41035,13.99279
1962,35.4479,13.61258
1963,37.48655,15.26564
1964,40.13111,15.11467
1965,41.3657,15.81352
1966,40.384,15.64082
1967,43.31554,15.6902
1968,46.6862,15.97417
1969,45.46218,15.77956
1970,47.39413,15.99266
1971,48.45286,17.12012
1972,49.40269,17.37899
1973,49.3895,16.99369
1974,53.98055,18.6133
1975,51.09961,17.40216
1976,52.82116,18.89012
1977,50.7207,19.96113
1978,55.56526,21.01015
1979,58.49247,20.91629
1980,59.33003,21.00696
1981,58.30769,22.75861
1982,56.75191,20.2928
1983,61.19543,20.97707
1984,61.69685,19.90151
1985,61.04953,17.93445
1986,59.7834,20.27017
1987,59.69981,19.99391
1988,52.35113,20.06003
1989,55.20204,17.6153
1990,53.53568,16.15175
1991,51.6224,15.35198
1992,52.8314,14.68765
1993,48.6875,13.48357
1994,48.54348,12.38292
1995,43.73508,11.98233
1996,44.25144,11.87498
1997,41.93054,10.7454
1998,43.28421,10.44197
1999,45.66346,10.64106
2000,43.9828,10.67224
2001,39.56583,9.227195
2002,38.08537,8.776537
2003,36.93882,8.222026
2004,35.98394,8.70322
2004,16.97234535,5.842729092
2004,22.67622375,14.30644226
2004,13.73718452,9.29459095
2004,6.884473324,5.179065228
2004,25.53655815,8.3937397
1950,4.257815,0.8519407
1951,4.003328,1.147528
1952,3.379071,0.8795826
1953,3.312277,0.8431673
1954,3.295372,0.7177907
1955,3.693148,1.028455
1956,4.446795,0.8246769
1957,3.893486,1.061786
1958,4.123925,1.196178
1959,3.956746,1.156083
1960,4.069189,1.646138
1961,5.203468,1.351529
1962,2.9876,0.8145017
1963,3.79027,1.372869
1964,3.54006,0.6879103
1965,3.147818,0.4480566
1966,3.492746,1.147462
1967,3.72761,1.278857
1968,4.147193,1.159696
1969,2.67232,0.9921009
1970,3.140356,0.5851788
1971,4.504058,1.637786
1972,4.594031,1.837284
1973,5.228618,2.035601
1974,6.608761,1.915172
1975,7.340617,3.126245
1976,8.450701,3.551923
1977,6.463584,3.664815
1978,7.106894,3.678854
1979,8.901459,3.02496
1980,9.243445,4.751621
1981,10.07419,4.323764
1982,10.92324,3.911616
1983,12.13038,4.951054
1984,9.854288,4.182046
1985,12.77354,3.596939
